split,id,question,raw_prediction,cleaned_prediction,all_raw_predictions,all_cleaned_predictions,prediction,references,gold_context_retrieved,gold_context_rank,reciprocal_rank,retrieved_contexts,retrieval_scores,retrieval_top_score,retrieval_signal,faithfulness_signal,consistency_signal,retrieval_signal_raw,faithfulness_signal_raw,consistency_signal_raw,combined_confidence,exact_match,token_f1,decision
calibration,573173d8497a881900248f0c,What percentage of Egyptians polled support death penalty for those leaving Islam?,84%,84%,['84%'],['84%'],84%,['84%'],True,1.0,1.0,"['The Pew Forum on Religion & Public Life ranks Egypt as the fifth worst country in the world for religious freedom. The United States Commission on International Religious Freedom, a bipartisan independent agency of the US government, has placed Egypt on its watch list of countries that require close monitoring due to the nature and extent of violations of religious freedom engaged in or tolerated by the government. According to a 2010 Pew Global Attitudes survey, 84% of Egyptians polled supported the death penalty for those who leave Islam; 77% supported whippings and cutting off of hands for theft and robbery; and 82% support stoning a person who commits adultery.', 'Throughout history, many rulers, empires and nations have oppressed their Jewish populations or sought to eliminate them entirely. Methods employed ranged from expulsion to outright genocide; within nations, often the threat of these extreme methods was sufficient to silence dissent. The history of antisemitism includes the First Crusade which resulted in the massacre of Jews; the Spanish Inquisition (led by Tomás de Torquemada) and the Portuguese Inquisition, with their persecution and autos-da-fé against the New Christians and Marrano Jews; the Bohdan Chmielnicki Cossack massacres in Ukraine; the Pogroms backed by the Russian Tsars; as well as expulsions from Spain, Portugal, England, France, Germany, and other countries in which the Jews had settled. According to a 2008 study published in the American Journal of Human Genetics, 19.8% of the modern Iberian population has Sephardic Jewish ancestry, indicating that the number of conversos may have been much higher than originally thought.', ""Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in New York as of 2014, followed by Judaism, with approximately 1.1 million Jews in New York City, over half living in Brooklyn. Islam ranks third in New York City, with official estimates ranging between 600,000 and 1,000,000 observers and including 10% of the city's public schoolchildren, followed by Hinduism, Buddhism, and a variety of other religions, as well as atheism. In 2014, 24% self-identified with no organized religious affiliation.""]","[0.6460009217262268, 0.4494521915912628, 0.3673992156982422]",0.6460009217262268,0.8230004608631134,0.5256646759808064,,0.6460009217262268,0.0513293519616127,,0.6594657791778445,1.0,1.0,escalate
calibration,57277e815951b619008f8b52,Ann Arbor ranks 1st among what goods sold?,books,books,['books'],['books'],books,['books'],True,1.0,1.0,"['The Ann Arbor Hands-On Museum is located in a renovated and expanded historic downtown fire station. Multiple art galleries exist in the city, notably in the downtown area and around the University of Michigan campus. Aside from a large restaurant scene in the Main Street, South State Street, and South University Avenue areas, Ann Arbor ranks first among U.S. cities in the number of booksellers and books sold per capita. The Ann Arbor District Library maintains four branch outlets in addition to its main downtown building. The city is also home to the Gerald R. Ford Presidential Library.', 'The Gold Standard Act of 1900 abandoned the bimetallic standard and defined the dollar as 23.22 grains (1.505 g) of gold, equivalent to setting the price of 1 troy ounce of gold at $20.67. Silver coins continued to be issued for circulation until 1964, when all silver was removed from dimes and quarters, and the half dollar was reduced to 40% silver. Silver half dollars were last issued for circulation in 1970. Gold coins were confiscated by Executive Order 6102 issued in 1933 by Franklin Roosevelt. The gold standard was changed to 13.71 grains (0.888 g), equivalent to setting the price of 1 troy ounce of gold at $35. This standard persisted until 1968.', 'The origins of the department store lay in the growth of the conspicuous consumer society at the turn of the 19th century. As the Industrial Revolution accelerated economy expansion, the affluent middle-class grew in size and wealth. This urbanized social group, sharing a culture of consumption and changing fashion, was the catalyst for the retail revolution. As rising prosperity and social mobility increased the number of people, especially women (who found they could shop unaccompanied at department stores without damaging their reputation), with disposable income in the late Georgian period, window shopping was transformed into a leisure activity and entrepreneurs, like the potter Josiah Wedgwood, pioneered the use of marketing techniques to influence the prevailing tastes and preferences of society.']","[0.43338656425476074, 0.2677421569824219, 0.25930994749069214]",0.43338656425476074,0.7166932821273804,0.5042479489929974,,0.43338656425476074,0.008495897985994816,,0.5998483489034698,1.0,1.0,escalate
calibration,5727e2483acd2414000deef0,"In developing countries, who makes most of the spending decisions?","executive directors of the Global Fund to Fight AIDS, Tuberculosis and Malaria","executive directors of the Global Fund to Fight AIDS, Tuberculosis and Malaria","['executive directors of the Global Fund to Fight AIDS, Tuberculosis and Malaria']","['executive directors of the Global Fund to Fight AIDS, Tuberculosis and Malaria']","executive directors of the Global Fund to Fight AIDS, Tuberculosis and Malaria",['the executive'],True,2.0,0.5,"['The era of planning in Himachal Pradesh started 1948 along with the rest of India. The first five-year plan allocated ₹ 52.7 million to Himachal. More than 50% of this expenditure was incurred on road construction since it was felt that without proper transport facilities, the process of planning and development could not be carried to the people, who mostly lived an isolated existence in far away areas. Himachal now ranks fourth in respect of per capita income among the states of the Indian Union.', 'One important aspect of the rule-of-law initiatives is the study and analysis of the rule of law’s impact on economic development. The rule-of-law movement cannot be fully successful in transitional and developing countries without an answer to the question: does the rule of law matter for economic development or not? Constitutional economics is the study of the compatibility of economic and financial decisions within existing constitutional law frameworks, and such a framework includes government spending on the judiciary, which, in many transitional and developing countries, is completely controlled by the executive. It is useful to distinguish between the two methods of corruption of the judiciary: corruption by the executive branch, in contrast to corruption by private actors.', 'Slow progress has led to frustration, expressed by executive director of the Global Fund to Fight AIDS, Tuberculosis and Malaria – Mark Dybul: ""we have the tools to end TB as a pandemic and public health threat on the planet, but we are not doing it."" Several international organizations are pushing for more transparency in treatment, and more countries are implementing mandatory reporting of cases to the government, although adherence is often sketchy. Commercial treatment-providers may at times overprescribe second-line drugs as well as supplementary treatment, promoting demands for further regulations. The government of Brazil provides universal TB-care, which reduces this problem. Conversely, falling rates of TB-infection may not relate to the number of programs directed at reducing infection rates, but may be tied to increased level of education, income and health of the population. Costs of the disease, as calculated by the World Bank in 2009 may exceed 150 billion USD per year in ""high burden"" countries. Lack of progress eradicating the disease may also be due to lack of patient follow-up – as among the 250M rural migrants in China.']","[0.44070500135421753, 0.3799927830696106, 0.35112905502319336]",0.44070500135421753,0.7203525006771088,0.6026795506477356,,0.44070500135421753,0.2053591012954712,,0.6556323781609535,0.0,0.16666666666666669,escalate
calibration,5728f5716aef0514001548cc,Who impressed Xavier by taking notes in church?,Francis,Francis,['Francis'],['Francis'],Francis,['Anjiro'],True,1.0,1.0,"['In December 1547, Francis was in Malacca (Malaysia) waiting to return to Goa (India) when he met a low-ranked samurai named Anjiro (possibly spelled ""Yajiro""). Anjiro was not an intellectual, but he impressed Xavier because he took careful notes of everything he said in church. Xavier made the decision to go to Japan in part because this low-ranking samurai convinced him in Portuguese that the Japanese people were highly educated and eager to learn. They were hard workers and respectful of authority. In their laws and customs they were led by reason, and, should the Christian faith convince them of its truth, they would accept it en masse.', 'Once at Golgotha, Jesus was offered wine mixed with gall to drink. Matthew\'s and Mark\'s Gospels record that he refused this. He was then crucified and hung between two convicted thieves. According to some translations from the original Greek, the thieves may have been bandits or Jewish rebels. According to Mark\'s Gospel, he endured the torment of crucifixion for some six hours from the third hour, at approximately 9 am, until his death at the ninth hour, corresponding to about 3 pm. The soldiers affixed a sign above his head stating ""Jesus of Nazareth, King of the Jews"" in three languages, divided his garments and cast lots for his seamless robe. The Roman soldiers did not break Jesus\' legs, as they did to the other two men crucified (breaking the legs hastened the crucifixion process), as Jesus was dead already. Each gospel has its own account of Jesus\' last words, seven statements altogether. In the Synoptic Gospels, various supernatural events accompany the crucifixion, including darkness, an earthquake, and (in Matthew) the resurrection of saints. Following Jesus\' death, his body was removed from the cross by Joseph of Arimathea and buried in a rock-hewn tomb, with Nicodemus assisting.', 'At Live Aid, held at Wembley on 13 July 1985, in front of the biggest-ever TV audience of 1.9 billion, Queen performed some of their greatest hits, during which the sold-out stadium audience of 72,000 people clapped, sang, and swayed in unison. The show\'s organisers, Bob Geldof and Midge Ure, other musicians such as Elton John, Cliff Richard and Dave Grohl, and music journalists writing for the BBC, CNN, Rolling Stone, MTV, The Telegraph among others, stated that Queen stole the show. An industry poll in 2005 ranked it the greatest rock performance of all time. Mercury\'s powerful, sustained note during the a cappella section came to be known as ""The Note Heard Round the World"".']","[0.5183750987052917, 0.2828309237957001, 0.27485164999961853]",0.5183750987052917,0.7591875493526459,0.5974680781364441,,0.5183750987052917,0.19493615627288818,,0.6702418401837349,0.0,0.0,escalate
calibration,572826002ca10214002d9f16,What represents elements of the fundamental group?,loops,loops,['loops'],['loops'],loops,['loops'],True,1.0,1.0,"['Groups are also applied in many other mathematical areas. Mathematical objects are often examined by associating groups to them and studying the properties of the corresponding groups. For example, Henri Poincaré founded what is now called algebraic topology by introducing the fundamental group. By means of this connection, topological properties such as proximity and continuity translate into properties of groups.i[›] For example, elements of the fundamental group are represented by loops. The second image at the right shows some loops in a plane minus a point. The blue loop is considered null-homotopic (and thus irrelevant), because it can be continuously shrunk to a point. The presence of the hole prevents the orange loop from being shrunk to a point. The fundamental group of the plane with a point deleted turns out to be infinite cyclic, generated by the orange loop (or any other loop winding once around the hole). This way, the fundamental group detects the hole.', 'for any constant c. Matrix groups over these fields fall under this regime, as do adele rings and adelic algebraic groups, which are basic to number theory. Galois groups of infinite field extensions such as the absolute Galois group can also be equipped with a topology, the so-called Krull topology, which in turn is central to generalize the above sketched connection of fields and groups to infinite field extensions. An advanced generalization of this idea, adapted to the needs of algebraic geometry, is the étale fundamental group.', ""None of the original treaties establishing the European Union mention protection for fundamental rights. It was not envisaged for European Union measures, that is legislative and administrative actions by European Union institutions, to be subject to human rights. At the time the only concern was that member states should be prevented from violating human rights, hence the establishment of the European Convention on Human Rights in 1950 and the establishment of the European Court of Human Rights. The European Court of Justice recognised fundamental rights as general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states' constitution became ever more apparent. In 1999 the European Council set up a body tasked with drafting a European Charter of Human Rights, which could form the constitutional basis for the European Union and as such tailored specifically to apply to the European Union and its institutions. The Charter of Fundamental Rights of the European Union draws a list of fundamental rights from the European Convention on Human Rights and Fundamental Freedoms, the Declaration on Fundamental Rights produced by the European Parliament in 1989 and European Union Treaties.""]","[0.5505719780921936, 0.4410938620567322, 0.30940139293670654]",0.5505719780921936,0.7752859890460968,0.6677709817886353,,0.5505719780921936,0.3355419635772705,,0.716152735054493,1.0,1.0,flag
calibration,572692f4f1498d1400e8e437,What is the population of the Commonwealth?,2.2 billion,2 billion,['2.2 billion'],['2 billion'],2 billion,['2.2 billion'],True,1.0,1.0,"['Most former British colonies and protectorates are among the 53 member states of the Commonwealth of Nations, a non-political, voluntary association of equal members, comprising a population of around 2.2 billion people. Sixteen Commonwealth realms voluntarily continue to share the British monarch, Queen Elizabeth II, as their head of state. These sixteen nations are distinct and equal legal entities – the United Kingdom, Australia, Canada, New Zealand, Papua New Guinea, Antigua and Barbuda, The Bahamas, Barbados, Belize, Grenada, Jamaica, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Solomon Islands and Tuvalu.', 'Other less likely contenders are Guam and the United States Virgin Islands, both of which are unincorporated organized territories of the United States. Also, the Northern Mariana Islands and American Samoa, an unorganized, unincorporated territory, could both attempt to gain statehood. Some proposals call for the Virgin Islands to be admitted with Puerto Rico as one state (often known as the proposed ""Commonwealth of Prusvi"", for Puerto Rico/U.S. Virgin Islands, or as ""Puerto Virgo""), and for the amalgamation of U.S. territories or former territories in the Pacific Ocean, in the manner of the ""Greater Hawaii"" concept of the 1960s. Guam and the Northern Mariana Islands would be admitted as one state, along with Palau, the Federated States of Micronesia, and the Marshall Islands (although these latter three entities are now separate sovereign nations, which have Compact of Free Association relationships with the United States). Such a state would have a population of 412,381 (slightly lower than Wyoming\'s population) and a land area of 911.82 square miles (2,361.6 km2) (slightly smaller than Rhode Island). American Samoa could possibly be part of such a state, increasing the population to 467,900 and the area to 988.65 square miles (2,560.6 km2). Radio Australia, in late May 2008, issued signs of Guam and the Northern Mariana Islands becoming one again and becoming the 51st state.', 'Melbourne (/ˈmɛlbərn/, AU i/ˈmɛlbən/) is the capital and most populous city in the Australian state of Victoria, and the second most populous city in Australia and Oceania. The name ""Melbourne"" refers to the area of urban agglomeration (as well as a census statistical division) spanning 9,900 km2 (3,800 sq mi) which comprises the broader metropolitan area, as well as being the common name for its city centre. The metropolis is located on the large natural bay of Port Phillip and expands into the hinterlands towards the Dandenong and Macedon mountain ranges, Mornington Peninsula and Yarra Valley. Melbourne consists of 31 municipalities. It has a population of 4,347,955 as of 2013, and its inhabitants are called Melburnians.']","[0.6327028274536133, 0.41498854756355286, 0.409334659576416]",0.6327028274536133,0.8163514137268066,0.5696466192603111,,0.6327028274536133,0.13929323852062225,,0.6806637767702342,0.0,0.5,escalate
calibration,57324e38e17f3d1400422823,What was Eisenhower's title after Germany's surrender?,Military Governor of the U.S. Occupation Zone,Military Governor of the U.S. Occupation Zone,['Military Governor of the U.S. Occupation Zone'],['Military Governor of the U.S. Occupation Zone'],Military Governor of the U.S. Occupation Zone,['Military Governor of the U.S. Occupation Zone'],True,1.0,1.0,"['Following the German unconditional surrender, Eisenhower was appointed Military Governor of the U.S. Occupation Zone, based at the IG Farben Building in Frankfurt am Main. He had no responsibility for the other three zones, controlled by Britain, France and the Soviet Union, except for the city of Berlin, which was managed by the Four-Power Authorities through the Allied Kommandatura as the governing body. Upon discovery of the Nazi concentration camps, he ordered camera crews to document evidence of the atrocities in them for use in the Nuremberg Trials. He reclassified German prisoners of war (POWs) in U.S. custody as Disarmed Enemy Forces (DEFs), who were no longer subject to the Geneva Convention. Eisenhower followed the orders laid down by the Joint Chiefs of Staff (JCS) in directive JCS 1067, but softened them by bringing in 400,000 tons of food for civilians and allowing more fraternization. In response to the devastation in Germany, including food shortages and an influx of refugees, he arranged distribution of American food and medical equipment. His actions reflected the new American attitudes of the German people as Nazi victims not villains, while aggressively purging the ex-Nazis.', 'In June 1943 a visiting politician had suggested to Eisenhower that he might become President of the United States after the war. Believing that a general should not participate in politics, one author later wrote that ""figuratively speaking, [Eisenhower] kicked his political-minded visitor out of his office"". As others asked him about his political future, Eisenhower told one that he could not imagine wanting to be considered for any political job ""from dogcatcher to Grand High Supreme King of the Universe"", and another that he could not serve as Army Chief of Staff if others believed he had political ambitions. In 1945 Truman told Eisenhower during the Potsdam Conference that if desired, the president would help the general win the 1948 election, and in 1947 he offered to run as Eisenhower\'s running mate on the Democratic ticket if MacArthur won the Republican nomination.', 'The Soviet request to join NATO arose in the aftermath of the Berlin Conference of January–February 1954. Soviet foreign minister Molotov made proposals to have Germany reunified and elections for a pan-German government, under conditions of withdrawal of the four powers armies and German neutrality, but all were refused by the other foreign ministers, Dulles (USA), Eden (UK) and Bidault (France). Proposals for the reunification of Germany were nothing new: earlier on 20 March 1952, talks about a German reunification, initiated by the socalled \'Stalin Note\', ended after the United Kingdom, France, and the United States insisted that a unified Germany should not be neutral and should be free to join the European Defence Community and rearm. James Dunn (USA), who met in Paris with Eden, Adenauer and Robert Schuman (France), affirmed that ""the object should be to avoid discussion with the Russians and to press on the European Defense Community"". According to John Gaddis ""there was little inclination in Western capitals to explore this offer"" from USSR. While historian Rolf Steininger asserts that Adenauer\'s conviction that “neutralization means sovietization” was the main factor in the rejection of the soviet proposals, Adenauer also feared that unification might have resulted in the end of the CDU\'s dominance in the Bundestag.']","[0.42749136686325073, 0.4223918318748474, 0.3738785982131958]",0.42749136686325073,0.7137456834316254,0.7084536403417587,,0.42749136686325073,0.41690728068351746,,0.7108350597321988,1.0,1.0,flag
calibration,56f8fa3c9b226e1400dd1212,These regions were occupied by who?,The brown men,The brown men,['The brown men'],['The brown men'],The brown men,['the brown men'],True,1.0,1.0,"['These regions were occupied by ""the brown men,"" with the yellow in the Far East and the black in Africa. The color issue was not settled until Kenya became independent in 1963, ending the last vestige of the British Empire.', ""Parthia was a north-eastern Iranian satrapy of the Achaemenid empire which later passed on to Alexander's empire. Under the Seleucids, Parthia was governed by various Greek satraps such as Nicanor and Philip (satrap). In 247 BC, following the death of Antiochus II Theos, Andragoras, the Seleucid governor of Parthia, proclaimed his independence and began minting coins showing himself wearing a royal diadem and claiming kingship. He ruled until 238 BCE when Arsaces, the leader of the Parni tribe conquered Parthia, killing Andragoras and inaugurating the Arsacid Dynasty. Antiochus III recaptured Arsacid controlled territory in 209 BC from Arsaces II. Arsaces II sued for peace became a vassal of the Seleucids and it was not until the reign of Phraates I (168–165 BCE), that the Arsacids would again begin to assert their independence."", ""Arab nationalists led by Egyptian President Gamal Abdel Nasser refused to recognize Israel, and called for its destruction. By 1966, Israeli-Arab relations had deteriorated to the point of actual battles taking place between Israeli and Arab forces. In May 1967, Egypt massed its army near the border with Israel, expelled UN peacekeepers, stationed in the Sinai Peninsula since 1957, and blocked Israel's access to the Red Sea[citation needed]. Other Arab states mobilized their forces. Israel reiterated that these actions were a casus belli. On 5 June 1967, Israel launched a pre-emptive strike against Egypt. Jordan, Syria and Iraq responded and attacked Israel. In a Six-Day War, Israel defeated Jordan and captured the West Bank, defeated Egypt and captured the Gaza Strip and Sinai Peninsula, and defeated Syria and captured the Golan Heights. Jerusalem's boundaries were enlarged, incorporating East Jerusalem, and the 1949 Green Line became the administrative boundary between Israel and the occupied territories.""]","[0.508236825466156, 0.341553270816803, 0.3370975852012634]",0.508236825466156,0.754118412733078,0.5453691147267818,,0.508236825466156,0.09073822945356369,,0.6393062988296152,1.0,1.0,escalate
calibration,57342ac5d058e614000b6a8a,What could be done by understanding how the disease was transmitted?,developing hypotheses as to the route of transmission of the virus,developing hypotheses as to the route of transmission of the virus,['developing hypotheses as to the route of transmission of the virus'],['developing hypotheses as to the route of transmission of the virus'],developing hypotheses as to the route of transmission of the virus,['resources could be targeted to the communities at greatest risk'],True,1.0,1.0,"['There is usually an indication for a specific identification of an infectious agent only when such identification can aid in the treatment or prevention of the disease, or to advance knowledge of the course of an illness prior to the development of effective therapeutic or preventative measures. For example, in the early 1980s, prior to the appearance of AZT for the treatment of AIDS, the course of the disease was closely followed by monitoring the composition of patient blood samples, even though the outcome would not offer the patient any further treatment options. In part, these studies on the appearance of HIV in specific communities permitted the advancement of hypotheses as to the route of transmission of the virus. By understanding how the disease was transmitted, resources could be targeted to the communities at greatest risk in campaigns aimed at reducing the number of new infections. The specific serological diagnostic identification, and later genotypic or molecular identification, of HIV also enabled the development of hypotheses as to the temporal and geographical origins of the virus, as well as a myriad of other hypothesis. The development of molecular diagnostic tools have enabled physicians and researchers to monitor the efficacy of treatment with anti-retroviral drugs. Molecular diagnostics are now commonly used to identify HIV in healthy people long before the onset of illness and have been used to demonstrate the existence of people who are genetically resistant to HIV infection. Thus, while there still is no cure for AIDS, there is great therapeutic and predictive benefit to identifying the virus and monitoring the virus levels within the blood of infected individuals, both for the patient and for the community at large.', ""Disease can arise if the host's protective immune mechanisms are compromised and the organism inflicts damage on the host. Microorganisms can cause tissue damage by releasing a variety of toxins or destructive enzymes. For example, Clostridium tetani releases a toxin that paralyzes muscles, and staphylococcus releases toxins that produce shock and sepsis. Not all infectious agents cause disease in all hosts. For example, less than 5% of individuals infected with polio develop disease. On the other hand, some infectious agents are highly virulent. The prion causing mad cow disease and Creutzfeldt–Jakob disease invariably kills all animals and people that are infected."", 'Thus, the technological ability to detect any infectious agent rapidly and specifically are currently available. The only remaining blockades to the use of PCR as a standard tool of diagnosis are in its cost and application, neither of which is insurmountable. The diagnosis of a few diseases will not benefit from the development of PCR methods, such as some of the clostridial diseases (tetanus and botulism). These diseases are fundamentally biological poisonings by relatively small numbers of infectious bacteria that produce extremely potent neurotoxins. A significant proliferation of the infectious agent does not occur, this limits the ability of PCR to detect the presence of any bacteria.']","[0.48901399970054626, 0.45087432861328125, 0.41033774614334106]",0.48901399970054626,0.7445069998502731,0.7425597906112671,,0.48901399970054626,0.4851195812225342,,0.7434360347688198,0.0,0.1111111111111111,flag
calibration,5729a5f51d046914007795a5,What kind of ants are symbolic among the Australian Aborigines?,honey ants,honey ants,['honey ants'],['honey ants'],honey ants,['honey ants'],True,1.0,1.0,"[""Scarab beetles held religious and cultural symbolism in Old Egypt, Greece and some shamanistic Old World cultures. The ancient Chinese regarded cicadas as symbols of rebirth or immortality. In Mesopotamian literature, the epic poem of Gilgamesh has allusions to Odonata which signify the impossibility of immortality. Amongst the Aborigines of Australia of the Arrernte language groups, honey ants and witchety grubs served as personal clan totems. In the case of the 'San' bush-men of the Kalahari, it is the praying mantis which holds much cultural significance including creation and zen-like patience in waiting.:9"", 'The second half of the 20th century to the present has seen a gradual shift towards improved human rights for Aboriginal people. In a 1967 referendum over 90% of the Australian population voted to end constitutional discrimination and to include Aborigines in the national census. During this period many Aboriginal activists began to embrace the term ""black"" and use their ancestry as a source of pride. Activist Bob Maza said:', ""Most of Bermuda's black population trace some of their ancestry to Native Americans, although awareness of this is largely limited to St David's Islanders and most who have such ancestry are unaware of it. During the colonial period, hundreds of Native Americans were shipped to Bermuda. The best-known examples were the Algonquian peoples who were exiled from the southern New England colonies and sold into slavery in the 17th century, notably in the aftermaths of the Pequot and King Philip's wars.""]","[0.460818886756897, 0.39580976963043213, 0.32871362566947937]",0.460818886756897,0.7304094433784485,0.6542436331510544,,0.460818886756897,0.30848726630210876,,0.6885182477533818,1.0,1.0,escalate
